"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Male","25 - 74 years","2001","12",30.3
"Female","15 - 24 years","2001","12",12.8
"Female","15 - 74 years","2001","12",33.2
"Female","25 - 74 years","2001","12",20.4
"Both","15 - 24 years","2002","01",33.3
"Both","15 - 74 years","2002","01",85.3
"Both","25 - 74 years","2002","01",52
"Male","15 - 24 years","2002","01",20.3
"Male","15 - 74 years","2002","01",50.9
"Male","25 - 74 years","2002","01",30.7
"Female","15 - 24 years","2002","01",13
"Female","15 - 74 years","2002","01",34.4
"Female","25 - 74 years","2002","01",21.4
"Both","15 - 24 years","2002","02",34.3
"Both","15 - 74 years","2002","02",87.4
"Both","25 - 74 years","2002","02",53.1
"Male","15 - 24 years","2002","02",20.7
"Male","15 - 74 years","2002","02",51.9
"Male","25 - 74 years","2002","02",31.2
"Female","15 - 24 years","2002","02",13.6
"Female","15 - 74 years","2002","02",35.4
"Female","25 - 74 years","2002","02",21.8
"Both","15 - 24 years","2002","03",34.9
"Both","15 - 74 years","2002","03",89.6
"Both","25 - 74 years","2002","03",54.6
"Male","15 - 24 years","2002","03",21.2
"Male","15 - 74 years","2002","03",52.8
"Male","25 - 74 years","2002","03",31.6
"Female","15 - 24 years","2002","03",13.8
"Female","15 - 74 years","2002","03",36.8
"Female","25 - 74 years","2002","03",23
"Both","15 - 24 years","2002","04",35.2
"Both","15 - 74 years","2002","04",89.3
"Both","25 - 74 years","2002","04",54.2
"Male","15 - 24 years","2002","04",21.5
"Male","15 - 74 years","2002","04",52.9
"Male","25 - 74 years","2002","04",31.3
"Female","15 - 24 years","2002","04",13.6
"Female","15 - 74 years","2002","04",36.4
"Female","25 - 74 years","2002","04",22.8
"Both","15 - 24 years","2002","05",35
"Both","15 - 74 years","2002","05",90
"Both","25 - 74 years","2002","05",55
"Male","15 - 24 years","2002","05",21.4
"Male","15 - 74 years","2002","05",53
"Male","25 - 74 years","2002","05",31.6
"Female","15 - 24 years","2002","05",13.6
"Female","15 - 74 years","2002","05",37
"Female","25 - 74 years","2002","05",23.4
"Both","15 - 24 years","2002","06",33.7
"Both","15 - 74 years","2002","06",88.6
"Both","25 - 74 years","2002","06",54.9
"Male","15 - 24 years","2002","06",20.7
"Male","15 - 74 years","2002","06",52.1
"Male","25 - 74 years","2002","06",31.5
"Female","15 - 24 years","2002","06",13.1
"Female","15 - 74 years","2002","06",36.5
"Female","25 - 74 years","2002","06",23.4
"Both","15 - 24 years","2002","07",32.3
"Both","15 - 74 years","2002","07",85.3
"Both","25 - 74 years","2002","07",53
"Male","15 - 24 years","2002","07",19.9
"Male","15 - 74 years","2002","07",50.5
"Male","25 - 74 years","2002","07",30.6
"Female","15 - 24 years","2002","07",12.4
"Female","15 - 74 years","2002","07",34.8
"Female","25 - 74 years","2002","07",22.4
"Both","15 - 24 years","2002","08",31.7
"Both","15 - 74 years","2002","08",85.7
"Both","25 - 74 years","2002","08",54
"Male","15 - 24 years","2002","08",19.6
"Male","15 - 74 years","2002","08",50.9
"Male","25 - 74 years","2002","08",31.3
"Female","15 - 24 years","2002","08",12
"Female","15 - 74 years","2002","08",34.8
"Female","25 - 74 years","2002","08",22.7
"Both","15 - 24 years","2002","09",34
"Both","15 - 74 years","2002","09",91.3
"Both","25 - 74 years","2002","09",57.3
"Male","15 - 24 years","2002","09",20.6
"Male","15 - 74 years","2002","09",53.5
"Male","25 - 74 years","2002","09",32.9
"Female","15 - 24 years","2002","09",13.4
"Female","15 - 74 years","2002","09",37.8
"Female","25 - 74 years","2002","09",24.4
"Both","15 - 24 years","2002","10",37.6
"Both","15 - 74 years","2002","10",99.8
"Both","25 - 74 years","2002","10",62.2
"Male","15 - 24 years","2002","10",22.4
"Male","15 - 74 years","2002","10",57.7
"Male","25 - 74 years","2002","10",35.3
"Female","15 - 24 years","2002","10",15.2
"Female","15 - 74 years","2002","10",42.1
"Female","25 - 74 years","2002","10",26.9
"Both","15 - 24 years","2002","11",40
"Both","15 - 74 years","2002","11",104.6
"Both","25 - 74 years","2002","11",64.6
"Male","15 - 24 years","2002","11",23.6
"Male","15 - 74 years","2002","11",60
"Male","25 - 74 years","2002","11",36.4
"Female","15 - 24 years","2002","11",16.4
"Female","15 - 74 years","2002","11",44.6
"Female","25 - 74 years","2002","11",28.2
"Both","15 - 24 years","2002","12",40.2
"Both","15 - 74 years","2002","12",104.7
"Both","25 - 74 years","2002","12",64.5
"Male","15 - 24 years","2002","12",23.8
"Male","15 - 74 years","2002","12",60.5
"Male","25 - 74 years","2002","12",36.7
"Female","15 - 24 years","2002","12",16.5
"Female","15 - 74 years","2002","12",44.2
"Female","25 - 74 years","2002","12",27.8
"Both","15 - 24 years","2003","01",37.9
"Both","15 - 74 years","2003","01",98.6
"Both","25 - 74 years","2003","01",60.7
"Male","15 - 24 years","2003","01",23.2
"Male","15 - 74 years","2003","01",58.4
"Male","25 - 74 years","2003","01",35.2
"Female","15 - 24 years","2003","01",14.7
"Female","15 - 74 years","2003","01",40.1
"Female","25 - 74 years","2003","01",25.5
"Both","15 - 24 years","2003","02",36.4
"Both","15 - 74 years","2003","02",94.5
"Both","25 - 74 years","2003","02",58.1
"Male","15 - 24 years","2003","02",22.4
"Male","15 - 74 years","2003","02",56.3
"Male","25 - 74 years","2003","02",34
"Female","15 - 24 years","2003","02",14
"Female","15 - 74 years","2003","02",38.2
