"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH","Crime","Recorded Crimes"
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Driving/in charge of a vehicle under the influence of drugs",265
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Endangerment with potential for serious harm/death",69
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Abandoning a child child neglect and cruelty",226
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Unseaworthy/dangerous use of boat or ship",2
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," False alarm/interference with aircraft or air transport facilities",4
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Endangering traffic offences",165
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Kidnapping and related offences",121
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," False imprisonment",80
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Abduction of person under  years of age",25
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Human trafficking offences",16
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Robbery extortion and hijacking offences",2796
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Robbery of an establishment or institution",988
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Robbery of cash or goods in transit",39
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Robbery from the person",1678
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Blackmail or extortion",25
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Carjacking hijacking/unlawful seizure of aircraft/vessel",66
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Burglary and related offences",26297
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Aggravated burglary",299
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Burglary (not aggravated)",25316
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Possession of an article (with intent to burgle steal demand)",682
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Theft and related offences",78428
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Theft/taking of vehicle and related offences",7358
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Theft from person",6467
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Theft from shop",20553
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other thefts handling stolen property",44050
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Fraud deception and related offences",4788
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Controlled drug offences",15325
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Importation of drugs",44
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Cultivation or manufacture of drugs",390
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Possession of drugs for sale or supply",3241
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Possession of drugs for personal use",11160
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other drug offences",490
