"Cause","Date","Location","Suicides"
"DNAA",2015,"Lucan",79
"DSH",2015,"Lucan",89
"SA Only",2015,"Lucan",6
"SA/DSH",2015,"Lucan",3
"SI Only",2015,"Lucan",686
"SI/DSH",2015,"Lucan",313
"SI/SA",2015,"Lucan",286
"SI/SA/DSH",2015,"Lucan",194
"DNAA",2016,"Lucan",39
"DSH",2016,"Lucan",50
"SA Only",2016,"Lucan",7
"SA/DSH",2016,"Lucan",3
"SI Only",2016,"Lucan",692
"SI/DSH",2016,"Lucan",291
"SI/SA",2016,"Lucan",239
"SI/SA/DSH",2016,"Lucan",161
"DNAA",2017,"Lucan",0
"DSH",2017,"Lucan",0
"SA Only",2017,"Lucan",0
"SA/DSH",2017,"Lucan",0
"SI Only",2017,"Lucan",0
"SI/DSH",2017,"Lucan",0
"SI/SA",2017,"Lucan",0
"SI/SA/DSH",2017,"Lucan",0
"DNAA",2013,"Kerry",0
"DSH ",2013,"Kerry",0
"SA Only",2013,"Kerry",0
"SA/DSH",2013,"Kerry",0
"SI Only",2013,"Kerry",0
"SI/DSH",2013,"Kerry",0
"SI/SA",2013,"Kerry",0
"SI/SA/DSH",2013,"Kerry",0
"DNAA",2014,"Kerry",15
"DSH ",2014,"Kerry",5
"SA Only",2014,"Kerry",2
"SA/DSH",2014,"Kerry",1
"SI Only",2014,"Kerry",32
"SI/DSH",2014,"Kerry",17
"SI/SA",2014,"Kerry",20
"SI/SA/DSH",2014,"Kerry",9
"DNAA",2015,"Kerry",2
"DSH",2015,"Kerry",0
"SA Only",2015,"Kerry",1
"SA/DSH",2015,"Kerry",1
"SI Only",2015,"Kerry",8
"SI/DSH",2015,"Kerry",4
"SI/SA",2015,"Kerry",1
"SI/SA/DSH",2015,"Kerry",1
"DNAA",2016,"Kerry",0
"DSH",2016,"Kerry",0
"SA Only",2016,"Kerry",0
"SA/DSH",2016,"Kerry",0
"SI Only",2016,"Kerry",0
"SI/DSH",2016,"Kerry",0
"SI/SA",2016,"Kerry",0
"SI/SA/DSH",2016,"Kerry",0
"DNAA",2017,"Kerry",0
"DSH",2017,"Kerry",0
"SA Only",2017,"Kerry",0
"SA/DSH",2017,"Kerry",0
"SI Only",2017,"Kerry",0
"SI/DSH",2017,"Kerry",0
"SI/SA",2017,"Kerry",0
"SI/SA/DSH",2017,"Kerry",0
